word,level,sentence,word_mean
queen,a2,Queens. | Queen.,"a woman who rules a country because she has been born into a royal family , or a woman who is married to a king :"
question,a1,Can I ask you a question? | Any questions?,a sentence or phrase used to find out information :
quote,b1,End quote.,to repeat the words that someone else has said or written:
racing,b1,Racing.,competition in races :
radio,a1,Radio.,a piece of electronic equipment used for listening to radio broadcasts :
railway,a2,There is the railway.,the metal tracks on which trains run :
rain,a1,"When it rains, it pours. | Rain.",the season of the year in tropical countries when there is a lot of rain : | drops of water from clouds :
range,b1,Range?,a set of similar things:
rank,b2,Hold the ranks! | Rank?,"the members of a group or organization : | a position in an organization , such as the army , showing the importance of the person having it:"
rate,a2,At this rate...,"the speed at which something happens or changes , or the amount or number of times it happens or changes in a particular period :"
reach,b2,You are about to experience the awe and mystery which reaches from the inner mind to... | I can't reach it.,"a part of a river or part of an area of land : | to arrive at a place , especially after spending a long time or a lot of effort travelling :"
reaction,b1,No reaction.,"behaviour , a feeling or an action that is a direct result of something else :"
reader,a1,I'm not a mind reader.,"someone who reads for pleasure , especially a person who reads a lot:"
reading,a1,I don't pick up any life readings. | What are you reading?,the skill or activity of getting information from books :
reality,b1,Reality.,"the state of things as they are, rather than as they are imagined to be:"
reason,a1,I have my reasons. | No reason.,the cause of an event or situation or something that provides an excuse or explanation :
receipt,b1,Here's your receipt.,"something such as a piece of paper or message proving that money , goods , or information have been received :"
reception,a2,Reception.,a formal party at which important people are welcomed :
recipe,a2,My own recipe.,"a set of instructions telling you how to prepare and cook food , including a list of what food is needed for this:"
recommendation,b1,Recommendation?,a suggestion that something is good or suitable for a particular purpose or job :
record,a2,Off the record. | Records?,to store sounds or moving pictures using electronic equipment so that they can be heard or seen later :
recording,a2,This is a recording.,"speech , music , or moving pictures that have been recorded to be listened to or watched later :"
reference,b1,Reference.,a mention of something:
region,a2,Mankind has colonized the last unexplored region on Earth... the ocean.,"a particular area or part of the world , or any of the large official areas into which a country is divided :"
register,b2,Made more from the wallets than we did from the register.,"to put information , especially your name , into an official list or record :"
regret,b2,No regrets. | You won't regret it.,"a feeling of sadness about something sad or wrong or about a mistake that you have made, and a wish that it could have been different and better :"
regulation,b2,Regulations.,an official rule :
relation,b1,Public relations. | No relation.,the way in which two people or groups of people feel and behave towards each other:
relationship,a2,Relationships. | Relationship?,the way in which two things are connected :
relative,b1,Are you a relative?,a member of your family :
release,b1,Release him.,to give freedom or free movement to someone or something:
relief,b2,That's a relief.,a feeling of happiness that something unpleasant has not happened or has ended :
religion,b1,Religion?,"the belief in and worship of a god or gods , or any such system of belief and worship :"
rent,b1,Rent?,"a fixed amount of money that you pay regularly for the use of a room , house , car , television , etc. that someone else owns :"
repair,b1,What's happening with the repairs? | Repair and Synchronization by Easy Subtitles Synchronizer 1.0.0.0,"to put something that is damaged , broken , or not working correctly , back into good condition or make it work again:"
repeat,b1,Repeat.,to say or tell people something more than once :
report,a1,Personal weather reports. | Report.,stories for which you do not yet have real proof : | to give a description of something or information about it to someone:
