chasing,"If they trace any accounts, they'll wind up chasing a figment of my imagination.",exact,present participle of chase
thin,I conjured him out of thin air.,exact,having a small distance between two opposite sides :
wings,On the wings of my dream,exact,the sides of a stage that cannot be seen by the people watching the play :
parties,Parties have been sworn in.,exact,"a social event at which a group of people meet to talk , eat , drink , dance , etc., often in order to celebrate a special occasion :"
lisa,"Lisa, what are you doing?",exact,
shoe,Where is the shoe store?,exact,"one of a pair of coverings for your feet , usually made of a strong material such as leather , with a thick leather or plastic sole (= base ) and usually a heel :"
woke,"I dreamed, I cried, and I woke up...",exact,past simple of wake
cutting,"You may run the risks, my friend, but I do the cutting.",exact,an article that has been cut from a newspaper or magazine :
port,Sampan off the port bow.,exact,"a town by the sea or by a river that has a harbour , or the harbour itself:"
greater,"But in the year of the Shadow War, it became something greater our last, best hope for victory.",exact,used before names of some cities to refer to both the city itself and the area around it:
pushed,Would it help if I got out and pushed?,exact,to not have enough time or money :
hell's,What the hell's going on?,exact,used to express anger or surprise :
useful,The dead can be very useful sometimes.,exact,effective ; helping you to do or achieve something:
carol,"Max Julian, Carol Speed and Richard Pryor.",exact,"a happy or religious song , usually one sung at Christmas :"
bowl,"If Butch goes to Indochina, I want a nigger hiding in a bowl of rice... ready to pop a cap in his ass.",exact,a rounded container that is open at the top and is deep enough to hold food or small objects :
hated,"She said she was glad I knew, that she hated all the sneaking around.",exact,disliked very strongly and by many people :
crown,That was the price of your crown.,exact,"a circular decoration for the head , usually made of gold and jewels (= precious stones ) , and worn by a king or queen at official ceremonies"
defeat,To lose this war means more than defeat.,exact,"to win against someone in a fight , war , or competition :"
giant,"That's one small step for man, one giant leap for mankind.",exact,"an imaginary creature like a man but extremely tall , strong , and usually very cruel , appearing especially in children's stories"
beside,He leadeth me beside the still waters.,exact,"at the side of, next to:"
bike,"Hey, you on the bike!",exact,a bicycle :
lets,Lets get out of here.,exact,to allow something to happen or someone to do something by not doing anything to stop an action or by giving your permission :
grade,What grade are you in?,exact,"a level of quality , size , importance , etc.:"
bills,"I'm changing dollar bills, that's all.",exact,"a request for payment of money owed , or the piece of paper on which it is written:"
blown,Old life blown away in the blink of an eye.,exact,past participle of blow
finest,Pick a flock of your finest assassins and set a meeting.,exact,the best example of its type :
dad's,"See, I was a good friend of your dad's.",exact,
ceremony,Let's get on with the ceremony.,exact,"(a set of) formal acts , often fixed and traditional , performed on important social or religious occasions :"
lend,I'll lend it to you.,exact,"to give something to someone for a short period of time , expecting it to be given back:"
wore,Five long years he wore this watch up his ass.,exact,past simple of wear
india,It's like one of them tigers from India.,exact,a country in South Asia
instructions,We are on station and awaiting instructions.,exact,"advice and information about how to do or use something, often written in a book or on the side of a container :"
sides,But don't ever take sides with anyone against the family again.,exact,"a flat outer surface of an object , especially one that is not the top , the bottom , the front , or the back:"
